Key;EnglishText;RussianText

HomeBtn;Home;Дом
ProductsBtn;Products;Продукты
RegisterBtn;Register;Регистрация
LoginBtn;Login;Вход
Language1;English;Английский
Language2;Russian;Русский
HomeH1;Best Holiday Destinations;Лучшие места для отдыха
RegisterH1;Registration form:;Форма регистрации:
RegisterLabel1;Username:;Имя пользователя:
RegisterLabel2;Email:;Электронная почта:
RegisterLabel3;Age:;Возраст:
RegisterLabel4;Password:;Пароль:
RegisterLabel5;Confirm password:;Подтвердите пароль:
RegisterLabel6;Register;Зарегистрироваться
RegisterOut1;Fill in the form completely and try again;Заполните форму полностью и попробуйте ещё раз
RegisterOut2;Username already used. Try again;Имя пользователя уже использованно. Попробуйте ещё раз
RegisterOut3;Passwords do not match. Try again; Пароли не совпадают. Попробуйте ещё раз
RegisterOut4;Success. You will be registered...;Успешно. Вы будете зарегистрированны...
LoginH1;Login form:;Форма входа:
LoginLabel1;Username:;Имя пользователя:
LoginLabel2;Password:;Пароль:
LoginLabel3;Login;Войти
LoginOut1;Fill in the form completely and try again;Заполните форму полностью и попробуйте ещё раз
LoginOut2;You are logged in;Вы авторизированны
LoginOut3;Wrong username or password;Неверное имя пользователя или пароль
BahamasFC;Bahamas;Багамы
BahamasP;The roughly 700 islands that make up the Bahamas lure millions of visitors to this paradise's white sandy shores, duty-free shops, fishing and scuba diving excursions and luxurious accommodations each year. Nature enthusiasts can explore pristine protected areas like the Leon Levy Native Plant Preserve (on Eleuthera) and Lucayan National Park (on Grand Bahama Island) or take it easy at one of the country's many beaches or private islands. Meanwhile, history buffs can explore the ruins and artifacts from the colonial era and indigenous peoples like the Lucayan Indians.;Около 700 островов, входящих в состав Багамских островов, ежегодно привлекают миллионы туристов к белоснежным песчаным берегам этого райского уголка, магазинам беспошлинной торговли, рыбной ловле и дайвингу, а также роскошному отдыху. Любители природы могут исследовать нетронутые охраняемые территории, такие как заповедник местных растений имени Леона Леви (на Эльютере) и национальный парк Лукайян (на острове Гранд-Багама), или отдохнуть на одном из многочисленных пляжей или частных островов. Любители истории могут исследовать руины и артефакты колониальной эпохи, а также познакомиться с жизнью коренных народов, таких как индейцы лукайян.
BahamasH1;What to do:;Чем заняться:
BahamasLI1;Shopping;Шопинг
BahamasLI2;Scuba Diving;Скуба Дайвинг
