ProductNameEN;ImageLink;Price;DescriptionEN;DescriptionDE
Glock;../images/glock.WEBP;500$;For justice;Für Gerechtigkeit
Magnum;../images/magnum.jpg;700$;For power;Für Stärke
Desert eagle;../images/Desert.WEBP;1000$;For domination; Für die Beherrschung
AWP;../images/AWM.jpg;1000$;For precision;Für Präzision
FATMAN;../images/FATMAN.JPG;50000000$;For total domination;Für totale Herrschaft
AUG;../images/AUG.webp;12000$;For accuracy;Für Genauigkeit
Scar;../images/scar.webp;7000$;For reliability;Für Zuverlässigkeit
Tectical 22LR;../images/Tectical 22LR.webp;5000$;For beginners;Für Anfänger
Ak47;../images/AK47.jpg;3000$;For versatility;Für Vielseitigkeit
Remington870;../images/Remington870.jfif;1500$;For close combat;Für den Nahkampf
Minigun;../images/minigun.webp;25000$;For overwhelming firepower;Für überwältigende Feuerkraft
aa;aa.png;33;dd;dd
